Latitude	Longitude	Prob (%)
32.0	-120.8	0.0
32.2	-120.8	0.0
32.4	-120.8	0.0
32.6	-120.8	0.0
32.8	-120.8	0.0
33.0	-120.8	0.0
33.2	-120.8	0.0
33.4	-120.8	0.0
33.6	-120.8	0.0
33.8	-120.8	0.0
34.0	-120.8	0.01
34.2	-120.8	7.7
34.4	-120.8	10.57
34.6	-120.8	39.96
34.8	-120.8	46.65
35.0	-120.8	60.28
35.2	-120.8	19.88
35.4	-120.8	61.52
35.6	-120.8	62.92
35.8	-120.8	97.26
25.0	-120.6	80.2
25.2	-120.6	0.0
25.4	-120.6	0.0
25.6	-120.6	0.0
25.8	-120.6	0.0
26.0	-120.6	0.0
26.2	-120.6	0.0
26.4	-120.6	0.0
26.6	-120.6	0.0
26.8	-120.6	0.0
27.0	-120.6	0.0
27.2	-120.6	0.0
27.4	-120.6	0.0
27.6	-120.6	0.0
27.8	-120.6	0.0
28.0	-120.6	0.0
28.2	-120.6	0.0
28.4	-120.6	0.0
28.6	-120.6	0.0
28.8	-120.6	0.0
29.0	-120.6	0.0
29.2	-120.6	0.0
29.4	-120.6	0.0
29.6	-120.6	0.0
29.8	-120.6	0.0
30.0	-120.6	0.0
30.2	-120.6	0.0
30.4	-120.6	0.0
30.6	-120.6	0.0
30.8	-120.6	0.0
31.0	-120.6	0.0
31.2	-120.6	0.0
31.4	-120.6	0.0
31.6	-120.6	0.0
31.8	-120.6	0.0
32.0	-120.6	0.0
32.2	-120.6	0.0
32.4	-120.6	0.0
32.6	-120.6	0.0
32.8	-120.6	0.0
33.0	-120.6	0.0
33.2	-120.6	0.0
33.4	-120.6	0.0
33.6	-120.6	0.0
33.8	-120.6	0.0
34.0	-120.6	10.72
34.2	-120.6	16.81
34.4	-120.6	3.64
34.6	-120.6	29.07
34.8	-120.6	31.82
35.0	-120.6	39.79
35.2	-120.6	18.36
35.4	-120.6	42.11
35.6	-120.6	6.61
35.8	-120.6	23.26
25.0	-120.4	71.87
25.2	-120.4	0.0
25.4	-120.4	0.0
25.6	-120.4	0.0
25.8	-120.4	0.0
26.0	-120.4	0.0
26.2	-120.4	0.0
26.4	-120.4	0.0
26.6	-120.4	0.0
26.8	-120.4	0.0
27.0	-120.4	0.0
27.2	-120.4	0.0
27.4	-120.4	0.0
27.6	-120.4	0.0
27.8	-120.4	0.0
28.0	-120.4	0.0
28.2	-120.4	0.0
28.4	-120.4	0.0
28.6	-120.4	0.0
28.8	-120.4	0.0
29.0	-120.4	0.0
29.2	-120.4	0.0
29.4	-120.4	0.0
29.6	-120.4	0.0
29.8	-120.4	0.0
30.0	-120.4	0.0
30.2	-120.4	0.0
30.4	-120.4	0.0
30.6	-120.4	0.0
30.8	-120.4	0.0
31.0	-120.4	0.0
31.2	-120.4	0.0
31.4	-120.4	0.0
31.6	-120.4	0.0
31.8	-120.4	0.0
32.0	-120.4	0.0
32.2	-120.4	0.0
32.4	-120.4	0.0
32.6	-120.4	0.0
32.8	-120.4	0.0
33.0	-120.4	0.0
33.2	-120.4	0.0
33.4	-120.4	0.0
33.6	-120.4	2.92
33.8	-120.4	0.04
34.0	-120.4	17.01
34.2	-120.4	7.93
34.4	-120.4	0.77
34.6	-120.4	5.89
34.8	-120.4	5.79
35.0	-120.4	35.7
35.2	-120.4	22.21
35.4	-120.4	4.23
35.6	-120.4	2.14
35.8	-120.4	18.18
25.0	-120.2	97.21
25.2	-120.2	0.0
25.4	-120.2	0.0
25.6	-120.2	0.0
25.8	-120.2	0.0
26.0	-120.2	0.0
26.2	-120.2	0.0
26.4	-120.2	0.0
26.6	-120.2	0.0
26.8	-120.2	0.0
27.0	-120.2	0.0
27.2	-120.2	0.0
27.4	-120.2	0.0
27.6	-120.2	0.0
27.8	-120.2	0.0
28.0	-120.2	0.0
28.2	-120.2	0.0
28.4	-120.2	0.0
28.6	-120.2	0.0
28.8	-120.2	0.0
